Name,Address,Postcode,Tel,Email
1066 Veterinary Centre,"201 Battle Road, St. Leonards-On-Sea, East Sussex TN37 7AJ",TN37 7AJ,01424 839 010,[email protected]
387 Veterinary Centre,"387 Walsall Road, Walsall, Staffordshire WS6 6DP",WS6 6DP,01922 411755,[email protected]
3 Bridges Vets,"Fordell Firs, Dunfermline, Fife KY11 7HQ",KY11 7HQ,01383 667160,[email protected]
3 Mile Veterinary Centre,"The Arc, Glasgow, G52 4BN",G52 4BN,,
4 Paws Vets,"Head Dyke Lane, Pilling, Lancashire PR3 6SJ",PR3 6SJ,,
4 Paws Vets,"The Lodge, Preston, Lancashire PR3 0HX",PR3 0HX,07900 366811,[email protected]
608 Equine and Farm Vets,"Quarry Farm, Warwick, Warwickshire CV35 7DD",CV35 7DD,01564 783404,[email protected]
AA Dog Rescue Animal Angels,"Unit 2 Red Lyons Business Park, Chelmsford, Essex CM3 6JH",CM3 6JH,07779 593129,[email protected]
Aardvark Veterinary Clinic,"Aardvark Vets, Ellesmere Port, Merseyside CH65 9BE",CH65 9BE,0151 3559880,
Abbeycroft Veterinary Centre,"38 Station Road, Northwich, Cheshire CW9 5RA",CW9 5RA,01606 40332,
